generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,nafdac_schedule_date,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,requires_special_prescription,requires_physician_only,pharmacist_can_prescribe,maximum_days_supply,requires_photo_id,therapeutic_class,pharmacological_class,mechanism_of_action,is_controlled,is_high_risk,requires_monitoring,monitoring_type,monitoring_frequency_days,addiction_risk,abuse_potential,minimum_age,maximum_age,pregnancy_category,breastfeeding_safe,major_contraindications,allergy_cross_reactions,black_box_warning,black_box_warning_text,major_drug_interactions,food_interactions,search_keywords,generic_variations,common_misspellings,safer_alternatives,cheaper_alternatives,notes,is_active
Metformin,"Glucophage,Glucomet","Metformin HCl 500mg",true,A4-5011,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Biguanide,Decreases hepatic glucose production and increases insulin sensitivity,false,false,true,"Renal function, Vitamin B12, Blood glucose",90,false,none,,,B,true,"Severe renal impairment (eGFR <30),Metabolic acidosis,Acute heart failure,Severe liver disease,Hypoxic states","None specific",false,,"Iodinated contrast media (risk of lactic acidosis - hold before procedure),Alcohol (lactic acidosis risk),Carbonic anhydrase inhibitors (metabolic acidosis)","Take with or after meals to reduce GI upset, start low dose and titrate",metformin|glucophage|glucomet|biguanide|type 2 diabetes,Metformin Hydrochloride|Metformin Extended-Release,Metformin|Glucophage,GLP-1 agonists (if obese),Sulfonylureas (risk of hypoglycemia),First-line for type 2 diabetes. GI side effects common initially. Hold before contrast procedures. Vitamin B12 deficiency with long-term use.,true
Gliclazide,"Diamicron,Glizide","Gliclazide 80mg",true,A4-5012,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Sulfonylurea,Stimulates insulin release from pancreatic beta cells,false,false,true,"Blood glucose, Hypoglycemia signs",30,false,none,,,C,false,"Type 1 diabetes,Diabetic ketoacidosis,Severe renal/hepatic impairment,Sulfonamide allergy","Sulfonamides",false,,"Beta-blockers (mask hypoglycemia),Alcohol (disulfiram reaction hypoglycemia),NSAIDs (hypoglycemia),Warfarin (increased INR),Fluconazole (hypoglycemia)","Take with breakfast or first main meal",gliclazide|diamicron|glizide|sulfonylurea|type 2 diabetes,Gliclazide Modified-Release,Gliclazide|Diamicron,Metformin (first-line),DPP-4 inhibitors (no hypoglycemia),Second-generation sulfonylurea. Risk of hypoglycemia and weight gain. Common in Nigeria due to low cost.,true
Glimepiride,"Amaryl","Glimepiride 2mg",true,A4-5013,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,Sulfonylurea,Stimulates insulin release from pancreatic beta cells,false,false,true,"Blood glucose, Hypoglycemia",30,false,none,,,C,false,"Type 1 diabetes,DKA,Severe renal/hepatic impairment,Sulfonamide allergy","Sulfonamides",false,,"Beta-blockers (mask hypoglycemia),Alcohol (hypoglycemia),NSAIDs (hypoglycemia),Fluconazole (hypoglycemia)","Take with breakfast or first main meal",glimepiride|amaryl|sulfonylurea|type 2 diabetes,Glimepiride base,Glimepiride|Amaryl,Metformin,Gliclazide (similar),Once-daily sulfonylurea. Lower hypoglycemia risk than glibenclamide. Weight gain common.,true
Glibenclamide,"Daonil,Glyburide","Glibenclamide 5mg",true,A4-5014,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Sulfonylurea,Stimulates insulin release from pancreatic beta cells,false,false,true,"Blood glucose, Hypoglycemia (high risk)",30,false,none,,,C,false,"Type 1 diabetes,DKA,Severe renal/hepatic impairment,Sulfonamide allergy","Sulfonamides",false,,"Beta-blockers (mask hypoglycemia),Alcohol (severe hypoglycemia),Fluconazole (severe hypoglycemia),Warfarin (increased INR)","Take with breakfast",glibenclamide|glyburide|daonil|sulfonylurea|type 2 diabetes,Glyburide|Glibenclamide,Daonil|Glibenclamide,Gliclazide (lower hypoglycemia risk),Gliclazide,First-generation sulfonylurea. High hypoglycemia risk especially in elderly. Avoid in elderly and renal impairment. Cheap.,true
Glipizide,"Glucotrol","Glipizide 5mg",true,A4-5015,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,Sulfonylurea,Stimulates insulin release from pancreatic beta cells,false,false,true,"Blood glucose, Hypoglycemia",30,false,none,,,C,false,"Type 1 diabetes,DKA,Severe hepatic impairment,Sulfonamide allergy","Sulfonamides",false,,"Beta-blockers (mask hypoglycemia),Alcohol (hypoglycemia),Fluconazole (hypoglycemia)","Take 30 minutes before meals",glipizide|glucotrol|sulfonylurea|type 2 diabetes,Glipizide Extended-Release,Glipizide|Glucotrol,Gliclazide,Gliclazide,Second-generation sulfonylurea. Shorter duration than glibenclamide. Take before meals.,true
Pioglitazone,"Actos","Pioglitazone HCl 15mg",true,A4-5016,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,Thiazolidinedione (TZD),Increases insulin sensitivity via PPAR-gamma activation,false,true,true,"Liver function, Fluid retention, Heart failure signs",90,false,none,,,C,false,"Heart failure (NYHA III/IV),Active liver disease,Bladder cancer,Osteoporosis","None specific",true,"Increased risk of heart failure, fractures (especially in women), bladder cancer (controversial), fluid retention, weight gain. Not recommended in heart failure.","Insulin (increased heart failure risk),Gemfibrozil (increased pioglitazone levels)","Take with or without food",pioglitazone|actos|thiazolidinedione|tzd|insulin sensitizer,Pioglitazone Hydrochloride,Pioglitazone|Actos,GLP-1 agonists,Metformin,TZD insulin sensitizer. Multiple safety concerns. Fluid retention and weight gain. Fracture risk. Black box for heart failure.,true
Sitagliptin,"Januvia","Sitagliptin Phosphate 100mg",true,A4-5017,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,DPP-4 Inhibitor (Gliptin),Inhibits DPP-4 enzyme (increases incretin levels),false,false,true,"Blood glucose, Renal function",90,false,none,,,B,true,"Hypersensitivity to sitagliptin,Type 1 diabetes,Diabetic ketoacidosis","None specific",false,,"Digoxin (slight increase in digoxin levels - monitor)","Take with or without food, dose adjust in renal impairment",sitagliptin|januvia|dpp4 inhibitor|gliptin|type 2 diabetes,Sitagliptin Phosphate,Sitagliptin|Januvia,Linagliptin (no renal adjustment),Sulfonylureas (cheaper but hypoglycemia),DPP-4 inhibitor. Weight neutral. Low hypoglycemia risk. Pancreatitis risk (rare). Renal dosing required. Expensive.,true
Vildagliptin,"Galvus","Vildagliptin 50mg",true,A4-5018,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,DPP-4 Inhibitor (Gliptin),Inhibits DPP-4 enzyme (increases incretin levels),false,false,true,"Blood glucose, Liver function",90,false,none,,,B,true,"Severe hepatic impairment,Type 1 diabetes,Diabetic ketoacidosis","None specific",false,,"None significant","Take with or without food, twice daily dosing",vildagliptin|galvus|dpp4 inhibitor|gliptin|type 2 diabetes,Vildagliptin base,Vildagliptin|Galvus,Sitagliptin (once daily),Sulfonylureas,DPP-4 inhibitor. Twice-daily dosing. Monitor liver function. Pancreatitis risk. Expensive.,true
Linagliptin,"Tradjenta","Linagliptin 5mg",true,A4-5019,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,DPP-4 Inhibitor (Gliptin),Inhibits DPP-4 enzyme (increases incretin levels),false,false,true,Blood glucose,90,false,none,,,B,true,"Type 1 diabetes,Diabetic ketoacidosis","None specific",false,,"None significant","Take with or without food, no renal dose adjustment needed",linagliptin|tradjenta|dpp4 inhibitor|gliptin|type 2 diabetes,Linagliptin base,Linagliptin|Tradjenta,Sitagliptin,Sulfonylureas,DPP-4 inhibitor. Advantage: no renal dose adjustment needed. Once daily. Expensive.,true
Saxagliptin,"Onglyza","Saxagliptin HCl 5mg",true,A4-5020,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,DPP-4 Inhibitor (Gliptin),Inhibits DPP-4 enzyme (increases incretin levels),false,false,true,"Blood glucose, Heart failure signs",90,false,none,,,B,true,"Type 1 diabetes,Diabetic ketoacidosis","None specific",false,,"Strong CYP3A4/5 inhibitors (dose reduction to 2.5mg)","Take with or without food",saxagliptin|onglyza|dpp4 inhibitor|gliptin|type 2 diabetes,Saxagliptin Hydrochloride,Saxagliptin|Onglyza,Sitagliptin,Sulfonylureas,DPP-4 inhibitor. Heart failure hospitalization concern in trials. Renal dosing. Expensive.,true
Liraglutide,"Victoza","Liraglutide 6mg/ml (pen)",true,A4-5021,unscheduled,,not_scheduled,not_controlled,false,false,true,false,30,false,Antidiabetic,GLP-1 Receptor Agonist,Mimics incretin GLP-1 (increases insulin decreases glucagon),false,true,true,"Blood glucose, Weight, Pancreatitis signs, Thyroid",30,false,none,,,C,false,"Personal/family history of medullary thyroid cancer,Multiple Endocrine Neoplasia syndrome type 2,Gastroparesis","Other GLP-1 agonists",true,"Risk of thyroid C-cell tumors (animal studies), pancreatitis, gallbladder disease. Contraindicated in personal/family history of medullary thyroid cancer or MEN 2.","Insulin (can combine but monitor),Warfarin (may affect absorption due to delayed gastric emptying)","Inject subcutaneously once daily, start low dose and titrate, refrigerate",liraglutide|victoza|glp1 agonist|incretin mimetic|weight loss,Liraglutide injection,Liraglutide|Victoza,Semaglutide (weekly),Insulin,GLP-1 agonist injection. Weight loss benefit. GI side effects common (nausea). Expensive. Black box for thyroid tumors (animal data).,true
Semaglutide,"Ozempic,Rybelsus","Semaglutide 0.5mg pen or 7mg tablet",true,A4-5022,unscheduled,,not_scheduled,not_controlled,false,false,true,false,30,false,Antidiabetic,GLP-1 Receptor Agonist,Mimics incretin GLP-1,false,true,true,"Blood glucose, Weight, Pancreatitis, Thyroid",30,false,none,,,C,false,"Personal/family history medullary thyroid cancer,MEN 2,Gastroparesis","Other GLP-1 agonists",true,"Thyroid C-cell tumor risk (animal studies), pancreatitis, gallbladder disease, diabetic retinopathy complications. Black box warning for thyroid tumors.","Insulin (can combine),Warfarin (altered absorption)","Injectable: once weekly SC. Oral: take on empty stomach 30 min before food",semaglutide|ozempic|rybelsus|glp1 agonist|weekly injection|weight loss,Semaglutide injection|Semaglutide oral,Ozempic|Semaglutide,Liraglutide (daily),Insulin,GLP-1 agonist. Once-weekly injection or daily oral. Significant weight loss. Very expensive. High demand for weight loss.,true
Dulaglutide,"Trulicity","Dulaglutide 0.75mg pen",true,A4-5023,unscheduled,,not_scheduled,not_controlled,false,false,true,false,30,false,Antidiabetic,GLP-1 Receptor Agonist,Mimics incretin GLP-1,false,true,true,"Blood glucose, Weight, Pancreatitis, Thyroid",30,false,none,,,C,false,"Personal/family history medullary thyroid cancer,MEN 2","Other GLP-1 agonists",true,"Thyroid C-cell tumor risk, pancreatitis, gallbladder disease. Black box warning for thyroid tumors.","Insulin (can combine)","Once weekly subcutaneous injection, refrigerate",dulaglutide|trulicity|glp1 agonist|weekly injection,Dulaglutide injection,Dulaglutide|Trulicity,Semaglutide (weekly),Liraglutide (daily),GLP-1 agonist. Once-weekly. Pre-filled single-dose pen (easiest to use). Expensive.,true
Exenatide,"Byetta,Bydureon","Exenatide 5mcg pen",true,A4-5024,unscheduled,,not_scheduled,not_controlled,false,false,true,false,30,false,Antidiabetic,GLP-1 Receptor Agonist,Mimics incretin GLP-1,false,true,true,"Blood glucose, Weight, Pancreatitis, Renal function",30,false,none,,,C,false,"Personal/family history medullary thyroid cancer,Severe renal impairment,Gastroparesis","Other GLP-1 agonists",true,"Thyroid C-cell tumor risk, pancreatitis, acute kidney injury. Black box for thyroid tumors.","Warfarin (altered absorption)","Immediate-release: inject twice daily before meals. Extended-release: once weekly",exenatide|byetta|bydureon|glp1 agonist|exendin-4,Exenatide Immediate-Release|Exenatide Extended-Release,Exenatide|Byetta,Liraglutide or Semaglutide (better),Insulin,First GLP-1 agonist. Derived from Gila monster saliva. Twice-daily dosing (immediate-release). Less used now.,true
Empagliflozin,"Jardiance","Empagliflozin 10mg",true,A4-5025,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,SGLT2 Inhibitor (Gliflozin),Inhibits glucose reabsorption in kidney (increases urinary glucose excretion),false,false,true,"Blood glucose, Renal function, Genital infections, Ketones",90,false,none,,,C,false,"Type 1 diabetes (risk of DKA),Severe renal impairment (eGFR <30),Dialysis","None specific",false,,"Diuretics (volume depletion),Insulin/secretagogues (hypoglycemia risk)","Take in morning with or without food, maintain hydration",empagliflozin|jardiance|sglt2 inhibitor|gliflozin|type 2 diabetes,Empagliflozin base,Empagliflozin|Jardiance,Dapagliflozin,Canagliflozin,SGLT2 inhibitor. Cardiovascular and renal benefits. Weight loss. Genital infections common. DKA risk (rare). Expensive.,true
Dapagliflozin,"Farxiga,Forxiga","Dapagliflozin 10mg",true,A4-5026,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,SGLT2 Inhibitor (Gliflozin),Inhibits glucose reabsorption in kidney,false,false,true,"Blood glucose, Renal function, Genital infections",90,false,none,,,C,false,"Type 1 diabetes,Severe renal impairment (eGFR <25),Dialysis","None specific",false,,"Diuretics (volume depletion),Insulin (hypoglycemia)","Take in morning, maintain hydration",dapagliflozin|farxiga|forxiga|sglt2 inhibitor|gliflozin,Dapagliflozin base,Dapagliflozin|Farxiga,Empagliflozin (better CV data),Canagliflozin,SGLT2 inhibitor. Heart failure indication. Genital infections. Fournier's gangrene (very rare). Expensive.,true
Canagliflozin,"Invokana","Canagliflozin 100mg",true,A4-5027,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,SGLT2 Inhibitor (Gliflozin),Inhibits glucose reabsorption in kidney,false,true,true,"Blood glucose, Renal function, Bone fractures, Amputations",90,false,none,,,C,false,"Type 1 diabetes,Severe renal impairment,History of amputation,High amputation risk","None specific",true,"Increased risk of lower limb amputations (primarily toes), bone fractures, DKA. Black box warning for amputation risk.","Diuretics (volume depletion),Digoxin (increased digoxin levels),UGT inducers (reduced canagliflozin levels)","Take before first meal of day",canagliflozin|invokana|sglt2 inhibitor|gliflozin,Canagliflozin base,Canagliflozin|Invokana,Empagliflozin (safer),Dapagliflozin,SGLT2 inhibitor. Black box for amputation risk (especially diabetic foot). Fracture risk. Genital infections. Expensive.,true
Acarbose,"Glucobay,Precose","Acarbose 50mg",true,A4-5028,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,Alpha-Glucosidase Inhibitor,Delays carbohydrate absorption in intestine,false,false,true,Liver function (if doses >50mg TID),90,false,none,,,B,true,"Inflammatory bowel disease,Intestinal obstruction,Chronic intestinal disease,Severe renal impairment,Cirrhosis","None specific",false,,"Digestive enzymes (reduced acarbose effect),Intestinal adsorbents (reduced effect)","Take with first bite of each meal, increase dose gradually",acarbose|glucobay|precose|alpha glucosidase inhibitor|postprandial glucose,Acarbose base,Acarbose|Glucobay,DPP-4 inhibitors (better tolerated),Metformin,Alpha-glucosidase inhibitor. GI side effects very common (flatulence diarrhea). Limited use due to tolerability. Three times daily with meals.,true
Repaglinide,"Prandin,NovoNorm","Repaglinide 1mg",true,A4-5029,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,Meglitinide,Stimulates rapid insulin release from pancreatic beta cells,false,false,true,"Blood glucose, Hypoglycemia",30,false,none,,,C,false,"Type 1 diabetes,Diabetic ketoacidosis,Severe hepatic impairment","None specific",false,,"Gemfibrozil (contraindicated - severe hypoglycemia),CYP2C8/3A4 inhibitors (increased repaglinide levels),Beta-blockers (mask hypoglycemia)","Take 0-30 minutes before each meal, skip if skipping meal",repaglinide|prandin|novonorm|meglitinide|mealtime glucose,Repaglinide base,Repaglinide|Prandin,Rapid-acting insulin,Sulfonylureas,Short-acting insulin secretagogue. Take with meals. Hypoglycemia risk. Multiple daily doses. Expensive.,true
Nateglinide,"Starlix","Nateglinide 120mg",true,A4-5030,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,Meglitinide,Stimulates rapid insulin release,false,false,true,"Blood glucose, Hypoglycemia",30,false,none,,,C,false,"Type 1 diabetes,Diabetic ketoacidosis","None specific",false,,"NSAIDs (may enhance hypoglycemic effect),Beta-blockers (mask hypoglycemia)","Take 1-30 minutes before meals",nateglinide|starlix|meglitinide|postprandial glucose,Nateglinide base,Nateglinide|Starlix,Repaglinide,Sulfonylureas,Meglitinide for postprandial glucose. Faster onset and shorter duration than repaglinide. Expensive.,true
