generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Magnesium Hydroxide,"Milk of Magnesia","Magnesium Hydroxide 400mg",true,A4-9418,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Gastrointestinal,Antacid/Laxative,Neutralizes acid - osmotic laxative effect,true,false,false,Magnesium levels,3,false,none,no,B,false,"Renal impairment,Intestinal obstruction,Appendicitis","Tetracyclines,Quinolones,Bisphosphonates",,Diarrhea|Abdominal cramping,Hypermagnesemia (renal impairment),Very low cost,Aluminium hydroxide,magnesium hydroxide milk magnesia antacid laxative hypermagnesemia
Magnesium Trisilicate,"Gaviscon,Gelusil","Magnesium Trisilicate 250mg",true,A4-9419,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Gastrointestinal,Antacid,Neutralizes gastric acid,true,false,false,Renal function,7,false,none,no,C,false,"Severe renal impairment","Tetracyclines,Quinolones",,Diarrhea|Belching,Silica renal stones|Hypermagnesemia,Low cost,Aluminium hydroxide,magnesium trisilicate antacid gaviscon
Simethicone,"Gas-X,Mylicon","Simethicone 80mg",true,A4-9420,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Gastrointestinal,Antiflatulent,Reduces surface tension of gas bubbles,false,false,false,,3,false,none,no,C,false,"None significant","None",,Generally well-tolerated,None significant,Low cost,Activated charcoal,simethicone gas-x antiflatulent bloating gas
Ursodeoxycholic Acid,"Ursodiol,Actigall","Ursodeoxycholic Acid 250mg",true,A4-9421,unscheduled,,not_scheduled,not_controlled,false,false,false,true,3,false,Gastrointestinal,Bile Acid,Decreases cholesterol in bile,true,false,true,LFTs,180,true,none,no,B,false,"Complete biliary obstruction,Gallbladder calcification,Acute cholecystitis","Cholestyramine,Antacids,Estrogens",,Diarrhea|Nausea|Abdominal pain,Hepatotoxicity (rare),Moderate cost,Chenodeoxycholic acid,ursodeoxycholic acid ursodiol bile acid gallstones cholestasis
Chenodeoxycholic Acid,"Chenodiol,CDCA","Chenodeoxycholic Acid 250mg",true,A4-9422,unscheduled,,not_scheduled,not_controlled,false,false,false,true,3,false,Gastrointestinal,Bile Acid,Suppresses hepatic cholesterol synthesis,true,false,true,LFTs lipids,180,true,none,no,X,false,"Pregnancy,Hepatic disease,Bile duct abnormalities","Bile acid sequestrants,Estrogens",,Diarrhea|Hepatotoxicity|Elevated cholesterol,Hepatotoxicity|Cholelithiasis,High cost,Ursodeoxycholic acid,chenodeoxycholic acid chenodiol bile acid gallstones hepatotoxic
Loperamide/Simethicone,"Imodium Multi-Symptom","Loperamide 2mg + Simethicone 125mg",true,A4-9423,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Gastrointestinal,Combination,Antidiarrheal + antiflatulent,false,false,false,,3,false,low,no,B,false,"Acute ulcerative colitis,Pseudomembranous colitis,Acute bacterial enterocolitis","Ritonavir,Quinidine,P-glycoprotein inhibitors",,Constipation|Dizziness|Nausea,Paralytic ileus|Toxic megacolon|Cardiac arrhythmias (high doses),Moderate cost,Loperamide alone|Bismuth subsalicylate,loperamide simethicone imodium combination antidiarrheal
Kaolin/Pectin,"Kaopectate","Kaolin + Pectin",true,A4-9424,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Gastrointestinal,Adsorbent,Adsorbs toxins and bacteria,false,false,false,,3,false,none,no,C,false,"Intestinal obstruction","Digoxin,Quinidine,Lincomycin (reduces absorption)",,Constipation,Intestinal obstruction (rare),Low cost,Loperamide|Bismuth subsalicylate,kaolin pectin kaopectate adsorbent diarrhea
Bismuth Subsalicylate,"Pepto-Bismol","Bismuth Subsalicylate 262mg",true,A4-9425,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Gastrointestinal,Antidiarrheal,Antimicrobial and antisecretory,false,false,false,,2,false,none,no,C,false,"Hypersensitivity to salicylates,Children/teenagers with viral infections (Reye syndrome),Severe renal impairment","Warfarin,Aspirin,Tetracyclines,Methotrexate",,Black stools|Black tongue|Constipation,Salicylate toxicity|Bismuth toxicity|Reye syndrome,Low cost,Loperamide,bismuth subsalicylate pepto-bismol antidiarrheal travelers diarrhea
Diphenoxylate/Atropine,"Lomotil","Diphenoxylate 2.5mg + Atropine 0.025mg",true,A4-9426,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Gastrointestinal,Antidiarrheal,Opioid agonist + anticholinergic,false,false,false,,3,false,moderate,no,C,false,"Obstructive jaundice,Pseudomembranous colitis,Children under 2 years,Diarrhea associated with organisms that penetrate intestinal mucosa","MAOIs,Barbiturates,Alcohol",,Drowsiness|Dizziness|Dry mouth|Nausea,Toxic megacolon|Paralytic ileus|CNS depression|Anticholinergic crisis,Low cost,Loperamide|Codeine,diphenoxylate atropine lomotil antidiarrheal opioid
Dimenhydrinate,"Dramamine,Gravol","Dimenhydrinate 50mg",true,A4-9427,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Antiemetic,Antihistamine,H1 antagonist with anticholinergic effects,false,false,false,,3,false,none,no,B,false,"Hypersensitivity,Neonates","CNS depressants,Anticholinergics,Alcohol",,Drowsiness|Dry mouth|Blurred vision,Confusion (elderly)|Seizures (overdose),Low cost,Meclizine|Promethazine,dimenhydrinate dramamine motion sickness nausea antiemetic
Meclizine,"Antivert,Bonine","Meclizine 25mg",true,A4-9428,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Antiemetic,Antihistamine,H1 antagonist anticholinergic,false,false,false,,3,false,none,no,B,false,"Hypersensitivity","CNS depressants,Anticholinergics",,Drowsiness|Dry mouth|Fatigue,Rarely - hypersensitivity,Low cost,Dimenhydrinate|Promethazine,meclizine antivert motion sickness vertigo antiemetic
Cinnarizine,"Stugeron,Stunarone","Cinnarizine 25mg",true,A4-9429,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Antiemetic,Antihistamine,H1 antagonist calcium channel blocker,false,false,false,,7,false,none,no,C,false,"Hypersensitivity,Parkinson disease","CNS depressants,Alcohol",,Drowsiness|Weight gain|Dry mouth,Extrapyramidal symptoms|Parkinsonism,Low cost,Meclizine|Betahistine,cinnarizine stugeron motion sickness vertigo antihistamine
Betahistine,"Serc,Betaserc","Betahistine 16mg",true,A4-9430,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Antiemetic,Histamine Analog,Weak H1 agonist and H3 antagonist,false,false,false,,90,true,none,no,C,false,"Pheochromocytoma,Hypersensitivity,Peptic ulcer","Antihistamines (reduces effect)",,Headache|Nausea|Dyspepsia,Rarely - hypersensitivity,Moderate cost,Cinnarizine|Prochlorperazine,betahistine serc meniere vertigo tinnitus histamine
Cyclizine,"Marezine,Valoid","Cyclizine 50mg",true,A4-9431,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Antiemetic,Antihistamine,H1 antagonist anticholinergic,false,false,false,,3,false,low,no,B,false,"Hypersensitivity,Severe liver disease","CNS depressants,Anticholinergics",,Drowsiness|Dry mouth|Blurred vision,Hallucinations|Confusion (especially elderly),Low cost,Meclizine|Promethazine,cyclizine antiemetic motion sickness nausea
Scopolamine Patch,"Transderm-Scop","Scopolamine 1.5mg patch",true,A4-9432,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Antiemetic,Anticholinergic,Muscarinic antagonist,false,false,false,,3,false,none,no,C,false,"Angle-closure glaucoma,Obstructive uropathy,GI obstruction,Myasthenia gravis,Hypersensitivity","Anticholinergics,CNS depressants",,Dry mouth|Drowsiness|Blurred vision|Dizziness,Angle-closure glaucoma|Confusion|Hallucinations|Heat prostration,Moderate cost,Dimenhydrinate|Meclizine,scopolamine transderm patch motion sickness anticholinergic
Aprepitant,"Emend","Aprepitant 125mg",true,A4-9433,unscheduled,,not_scheduled,not_controlled,false,false,false,true,3,false,Antiemetic,NK1 Receptor Antagonist,Substance P/neurokinin 1 receptor antagonist,false,false,false,,3,false,none,no,B,false,"Hypersensitivity,Concurrent pimozide","Warfarin,Oral contraceptives,CYP3A4 substrates,Dexamethasone",,Fatigue|Diarrhea|Hiccups|Constipation,Stevens-Johnson syndrome|Anaphylaxis|Serious hypersensitivity,Very high cost,Ondansetron|Metoclopramide,aprepitant emend nk1 antagonist chemotherapy nausea cinv
Granisetron,"Kytril,Sancuso","Granisetron 1mg",true,A4-9434,unscheduled,,not_scheduled,not_controlled,false,false,false,true,3,false,Antiemetic,5-HT3 Antagonist,Selective 5-HT3 receptor antagonist,false,false,false,,3,false,none,no,B,false,"Hypersensitivity","Apomorphine,Drugs prolonging QT",,Headache|Constipation|Asthenia,QT prolongation|Serotonin syndrome (rare),High cost,Ondansetron|Palonosetron,granisetron kytril serotonin antiemetic chemotherapy
Palonosetron,"Aloxi","Palonosetron 0.25mg",true,A4-9435,unscheduled,,not_scheduled,not_controlled,false,false,false,true,3,false,Antiemetic,5-HT3 Antagonist,Selective 5-HT3 receptor antagonist - longer half-life,false,false,false,,1,false,none,no,B,false,"Hypersensitivity","Apomorphine,Serotonergic drugs",,Headache|Constipation,QT prolongation|Serotonin syndrome|Hypersensitivity,Very high cost,Ondansetron|Granisetron,palonosetron aloxi serotonin antiemetic chemotherapy long-acting
Dolasetron,"Anzemet","Dolasetron 100mg",true,A4-9436,unscheduled,,not_scheduled,not_controlled,false,false,false,true,3,false,Antiemetic,5-HT3 Antagonist,Selective 5-HT3 receptor antagonist,true,false,true,ECG,3,false,none,no,B,false,"Hypersensitivity,Congenital long QT syndrome","QT-prolonging drugs,Apomorphine",,Headache|Diarrhea|Dizziness,QT prolongation|Torsades de pointes|Serious arrhythmias,High cost,Ondansetron|Granisetron,dolasetron anzemet serotonin antiemetic qt prolongation
Dexamethasone Oral,"Decadron,Dexamethasone","Dexamethasone 4mg",true,A4-9437,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Corticosteroid,Glucocorticoid,Potent anti-inflammatory and immunosuppressant,true,false,true,Blood glucose blood pressure,variable,true,none,yes,C,false,"Systemic fungal infections,Live vaccines","CYP3A4 inducers/inhibitors,NSAIDs,Warfarin,Insulin",,Insomnia|Increased appetite|Hyperglycemia|Mood changes,Adrenal suppression|Osteoporosis|Infections|Hypertension|Diabetes|Peptic ulcer,Low cost,Prednisolone|Methylprednisolone,dexamethasone decadron corticosteroid potent anti-inflammatory
Budesonide Oral,"Entocort,Budenofalk","Budesonide 9mg",true,A4-9438,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Corticosteroid,Glucocorticoid,Locally acting corticosteroid,true,false,true,Adrenal function,90,false,none,no,C,false,"Hypersensitivity","CYP3A4 inhibitors,Grapefruit juice",,Headache|Nausea|Fatigue|Moon face,Adrenal suppression|Osteoporosis (long-term),High cost,Prednisolone,budesonide entocort oral crohn colitis corticosteroid
Triamcinolone,"Kenalog,Aristoc ort","Triamcinolone 4mg",true,A4-9439,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Corticosteroid,Glucocorticoid,Intermediate-acting corticosteroid,true,false,true,Blood glucose blood pressure,variable,true,none,yes,C,false,"Systemic fungal infections,Live vaccines","NSAIDs,Warfarin,CYP3A4 inducers",,Weight gain|Increased appetite|Insomnia,Adrenal suppression|Osteoporosis|Infections|Cushingoid features,Low cost,Prednisolone|Methylprednisolone,triamcinolone kenalog corticosteroid intermediate-acting
Cortisone,"Cortone,Cortisone Acetate","Cortisone 25mg",true,A4-9440,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Corticosteroid,Glucocorticoid,Converted to cortisol - physiologic replacement,true,false,true,Blood pressure electrolytes,ongoing,true,none,yes,D,false,"Systemic fungal infections","Similar to other corticosteroids",,Similar to prednisolone,Adrenal suppression|Osteoporosis|Infections,Very low cost,Hydrocortisone,cortisone corticosteroid adrenal insufficiency replacement
Spironolactone/Hydrochlorothiazide,"Aldactazide","Spironolactone 25mg + HCTZ 25mg",true,A4-9441,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Cardiovascular,Diuretic Combination,Potassium-sparing + thiazide diuretic,true,false,true,Electrolytes renal function,ongoing,true,none,no,C,false,"Hyperkalemia,Anuria,Acute renal insufficiency,Addison disease","ACE inhibitors,ARBs,Potassium supplements,NSAIDs,Lithium",,Gynecomastia|Hyperkalemia|Hyponatremia|Dizziness,Severe hyperkalemia|Metabolic acidosis|Renal failure,Low cost,Separate agents,spironolactone hydrochlorothiazide aldactazide combination diuretic
Triamterene/Hydrochlorothiazide,"Dyazide,Maxzide","Triamterene 37.5mg + HCTZ 25mg",true,A4-9442,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Cardiovascular,Diuretic Combination,Potassium-sparing + thiazide diuretic,true,false,true,Electrolytes renal function,ongoing,true,none,no,C,false,"Hyperkalemia,Anuria,Acute/chronic renal insufficiency,Severe hepatic disease","ACE inhibitors,ARBs,Potassium supplements,NSAIDs,Lithium",,Hyperkalemia|Nausea|Dizziness|Headache,Severe hyperkalemia|Metabolic acidosis|Renal stones|Megaloblastic anemia,Low cost,Spironolactone/HCTZ,triamterene hydrochlorothiazide dyazide combination potassium-sparing
Amiloride/Hydrochlorothiazide,"Moduretic","Amiloride 5mg + HCTZ 50mg",true,A4-9443,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Cardiovascular,Diuretic Combination,Potassium-sparing + thiazide diuretic,true,false,true,Electrolytes renal function,ongoing,true,none,no,B,false,"Hyperkalemia,Anuria,Acute/chronic renal insufficiency","ACE inhibitors,ARBs,Potassium supplements,NSAIDs",,Hyperkalemia|Headache|Nausea|Dizziness,Severe hyperkalemia|Metabolic acidosis|Renal impairment,Low cost,Spironolactone/HCTZ|Triamterene/HCTZ,amiloride hydrochlorothiazide moduretic combination potassium-sparing
Perindopril/Amlodipine,"Coveram,Prestalia","Perindopril 5mg + Amlodipine 5mg",true,A4-9444,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Cardiovascular,Combination,ACE inhibitor + calcium channel blocker,true,false,true,BP renal function potassium,ongoing,true,none,yes,D,false,"Hypersensitivity,History of angioedema,Pregnancy","Potassium supplements,Potassium-sparing diuretics,NSAIDs,Lithium",,Peripheral edema|Cough|Dizziness|Flushing,Angioedema|Hypotension|Hyperkalemia|Renal impairment|Fetal toxicity,Moderate cost,Separate agents,perindopril amlodipine coveram combination ace inhibitor calcium blocker
Valsartan/Amlodipine,"Exforge","Valsartan 160mg + Amlodipine 5mg",true,A4-9445,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Cardiovascular,Combination,ARB + calcium channel blocker,true,false,true,BP renal function potassium,ongoing,true,none,yes,D,false,"Hypersensitivity,Pregnancy,Severe hepatic impairment,Concurrent aliskiren in diabetes","Potassium supplements,NSAIDs,Lithium",,Peripheral edema|Dizziness|Headache,Hypotension|Hyperkalemia|Renal impairment|Fetal toxicity,High cost,Separate agents,valsartan amlodipine exforge combination arb calcium blocker
Valsartan/Hydrochlorothiazide,"Diovan HCT","Valsartan 160mg + HCTZ 25mg",true,A4-9446,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Cardiovascular,Combination,ARB + thiazide diuretic,true,false,true,BP renal function electrolytes,ongoing,true,none,yes,D,false,"Hypersensitivity,Anuria,Pregnancy,Concurrent aliskiren in diabetes","Potassium supplements,NSAIDs,Lithium",,Dizziness|Fatigue|Hypokalemia,Hypotension|Hyperkalemia|Renal impairment|Fetal toxicity,Moderate cost,Separate agents,valsartan hydrochlorothiazide diovan combination arb thiazide
Olmesartan/Amlodipine,"Sevikar,Azor","Olmesartan 20mg + Amlodipine 5mg",true,A4-9447,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Cardiovascular,Combination,ARB + calcium channel blocker,true,false,true,BP renal function,ongoing,true,none,yes,D,false,"Hypersensitivity,Pregnancy","Potassium supplements,NSAIDs",,Peripheral edema|Dizziness|Headache,Sprue-like enteropathy|Hypotension|Renal impairment|Fetal toxicity,High cost,Separate agents,olmesartan amlodipine sevikar combination arb calcium blocker
Olmesartan/Hydrochlorothiazide,"Benicar HCT","Olmesartan 20mg + HCTZ 12.5mg",true,A4-9448,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Cardiovascular,Combination,ARB + thiazide diuretic,true,false,true,BP renal function electrolytes,ongoing,true,none,yes,D,false,"Hypersensitivity,Anuria,Pregnancy","Potassium supplements,NSAIDs,Lithium",,Dizziness|Fatigue|Diarrhea,Sprue-like enteropathy|Hypotension|Hyperkalemia|Renal impairment|Fetal toxicity,High cost,Separate agents,olmesartan hydrochlorothiazide benicar combination arb thiazide
Candesartan/Hydrochlorothiazide,"Atacand HCT","Candesartan 16mg + HCTZ 12.5mg",true,A4-9449,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Cardiovascular,Combination,ARB + thiazide diuretic,true,false,true,BP renal function electrolytes,ongoing,true,none,yes,D,false,"Hypersensitivity,Anuria,Pregnancy","Potassium supplements,NSAIDs,Lithium",,Dizziness|Headache|Back pain,Hypotension|Hyperkalemia|Renal impairment|Fetal toxicity,Moderate cost,Separate agents,candesartan hydrochlorothiazide atacand combination arb thiazide
