generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Clomipramine,"Anafranil,Clomipra","Clomipramine 25mg",true,A4-8012,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antidepressant (TCA),Tricyclic antidepressant - potent serotonin reuptake inhibitor,true,false,true,ECG,180,true,low,no,C,false,"Hypersensitivity,Recent MI,MAOIs within 14 days","MAOIs,Anticholinergics,SSRIs,CYP2D6 inhibitors,QT-prolonging drugs",true,"Increased risk of suicidal thinking and behavior in children adolescents and young adults. Seizure risk. Cardiac effects.",Dry mouth|Constipation|Nausea|Drowsiness|Tremor|Sweating|Sexual dysfunction,Seizures|Cardiac arrhythmias|Orthostatic hypotension|Serotonin syndrome|Agranulocytosis,Moderate cost,SSRIs (Fluoxetine|Sertraline)|Imipramine,clomipramine anafranil tricyclic tca ocd obsessive compulsive
Haloperidol,"Haldol,Serenace","Haloperidol 5mg",true,A4-8013,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Mental Health,Antipsychotic (Typical),Dopamine D2 receptor antagonist,true,false,true,ECG for QT,90,true,low,no,C,false,"Hypersensitivity,Severe CNS depression,Coma,Parkinson disease","Anticholinergics,CNS depressants,QT-prolonging drugs,Lithium",true,"Increased mortality in elderly patients with dementia-related psychosis. Risk of tardive dyskinesia increases with duration of treatment and total cumulative dose. Neuroleptic malignant syndrome.",Extrapyramidal symptoms|Akathisia|Drowsiness|Dry mouth,Tardive dyskinesia|Neuroleptic malignant syndrome|QT prolongation|Sudden death|Agranulocytosis,Low cost generic,Risperidone|Olanzapine|Chlorpromazine,haloperidol haldol typical antipsychotic neuroleptic schizophrenia psychosis eps
Chlorpromazine,"Largactil,Thorazine","Chlorpromazine 100mg",true,A4-8014,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Mental Health,Antipsychotic (Typical),Dopamine D2 antagonist with anticholinergic effects,true,false,true,ECG for QT,90,true,low,no,C,false,"Hypersensitivity,CNS depression,Coma,Bone marrow depression","CNS depressants,Anticholinergics,Lithium,Propranolol",true,"Increased mortality in elderly with dementia-related psychosis. Tardive dyskinesia risk. Severe skin photosensitivity. Neuroleptic malignant syndrome.",Sedation|Hypotension|Dry mouth|Constipation|Blurred vision|Photosensitivity,Tardive dyskinesia|Neuroleptic malignant syndrome|Agranulocytosis|Seizures|Cardiac arrhythmias|Cholestatic jaundice,Very low cost,Haloperidol|Risperidone|Olanzapine,chlorpromazine largactil thorazine phenothiazine typical antipsychotic schizophrenia
Risperidone,"Risperdal,Risperdal","Risperidone 2mg",true,A4-8015,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antipsychotic (Atypical),Serotonin 5-HT2 and dopamine D2 antagonist,true,false,true,Weight BP glucose lipids,90,true,low,no,C,false,"Hypersensitivity","Carbamazepine,Fluoxetine,Paroxetine,Clozapine",true,"Increased mortality in elderly patients with dementia-related psychosis. Increased risk of cerebrovascular adverse events in elderly with dementia. Hyperglycemia and diabetes.",Extrapyramidal symptoms|Weight gain|Drowsiness|Dizziness|Nausea|Constipation,Neuroleptic malignant syndrome|Tardive dyskinesia|Hyperglycemia|Diabetes|Hyperprolactinemia|Cerebrovascular events,Moderate cost,Olanzapine|Quetiapine|Aripiprazole|Haloperidol,risperidone risperdal atypical antipsychotic schizophrenia bipolar psychosis
Olanzapine,"Zyprexa,Olanza","Olanzapine 10mg",true,A4-8016,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Mental Health,Antipsychotic (Atypical),Serotonin and dopamine antagonist,true,false,true,Weight BP glucose lipids,90,true,low,no,C,false,"Hypersensitivity","Fluvoxamine,Ciprofloxacin,Carbamazepine",true,"Increased mortality in elderly patients with dementia-related psychosis. Significant weight gain and metabolic changes including hyperglycemia dyslipidemia and diabetes.",Weight gain|Sedation|Dry mouth|Constipation|Dizziness,Hyperglycemia|Diabetes|Dyslipidemia|Hyperprolactinemia|Neuroleptic malignant syndrome|Tardive dyskinesia|Hepatotoxicity,Moderate to high cost,Risperidone|Quetiapine|Aripiprazole,olanzapine zyprexa atypical antipsychotic schizophrenia bipolar weight gain metabolic
Quetiapine,"Seroquel,Quetia","Quetiapine 200mg",true,A4-8017,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antipsychotic (Atypical),Serotonin 5-HT2 and dopamine D2 antagonist,true,false,true,Weight BP glucose lipids,90,true,moderate,no,C,false,"Hypersensitivity","CYP3A4 inducers and inhibitors,CNS depressants",true,"Increased mortality in elderly patients with dementia-related psychosis. Hyperglycemia and diabetes. Suicidal thoughts and behaviors.",Sedation|Dry mouth|Constipation|Weight gain|Dizziness|Orthostatic hypotension,Hyperglycemia|Diabetes|Hyperlipidemia|Cataracts|Hypothyroidism|Neuroleptic malignant syndrome|Tardive dyskinesia,Moderate cost,Risperidone|Olanzapine|Aripiprazole,quetiapine seroquel atypical antipsychotic schizophrenia bipolar depression sedation
Aripiprazole,"Abilify,Arip","Aripiprazole 10mg",true,A4-8018,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antipsychotic (Atypical),Dopamine D2 partial agonist and serotonin 5-HT1A partial agonist,true,false,true,Weight glucose,90,true,low,no,C,false,"Hypersensitivity","CYP2D6 and CYP3A4 inhibitors/inducers",true,"Increased mortality in elderly patients with dementia-related psychosis. Increased risk of suicidal thinking and behavior in children adolescents and young adults.",Akathisia|Headache|Insomnia|Nausea|Anxiety,Neuroleptic malignant syndrome|Tardive dyskinesia|Metabolic changes|Orthostatic hypotension|Seizures|Impulse control disorders,High cost,Risperidone|Olanzapine|Quetiapine,aripiprazole abilify atypical antipsychotic partial agonist schizophrenia bipolar
Clozapine,"Clozaril,Clopine","Clozapine 100mg",true,A4-8019,unscheduled,,not_scheduled,not_controlled,true,false,true,true,4,false,Mental Health,Antipsychotic (Atypical),Serotonin and dopamine antagonist,true,false,true,Absolute neutrophil count weekly,90,true,low,no,B,false,"Hypersensitivity,History of clozapine-induced agranulocytosis,Uncontrolled epilepsy,Bone marrow disorders","Carbamazepine,Benzodiazepines,Other antipsychotics",true,"Severe neutropenia/agranulocytosis can be fatal. Requires regular blood monitoring. Increased mortality in elderly with dementia-related psychosis. Seizures. Myocarditis and cardiomyopathy. Orthostatic hypotension and syncope.",Drowsiness|Dizziness|Tachycardia|Constipation|Hypersalivation|Weight gain,Agranulocytosis|Seizures|Myocarditis|Cardiomyopathy|Orthostatic hypotension|Metabolic syndrome|Neuroleptic malignant syndrome,Moderate cost but requires monitoring,Reserved for treatment-resistant schizophrenia,clozapine clozaril atypical antipsychotic treatment-resistant agranulocytosis neutropenia monitoring
Lithium,"Lithobid,Priadel,Camcolit","Lithium Carbonate 300mg",true,A4-8020,unscheduled,,not_scheduled,not_controlled,true,false,true,true,4,false,Mental Health,Mood Stabilizer,Modulates neurotransmission - exact mechanism unknown,true,false,true,Lithium levels renal function thyroid ECG,ongoing,true,none,yes,D,false,"Significant renal or cardiovascular disease,Severe dehydration,Sodium depletion,Brugada syndrome","Diuretics,NSAIDs,ACE inhibitors,ARBs,Antipsychotics",true,"Lithium toxicity can occur at doses close to therapeutic levels. Chronic use associated with renal toxicity and thyroid dysfunction. Risk in pregnancy (Ebstein anomaly). Requires regular blood level monitoring.",Tremor|Polyuria|Polydipsia|Weight gain|Nausea,Lithium toxicity|Renal impairment|Hypothyroidism|Cardiac arrhythmias|Diabetes insipidus|Teratogenicity,Very low cost but requires monitoring,Valproate|Carbamazepine|Lamotrigine,lithium mood stabilizer bipolar mania toxicity narrow therapeutic index monitoring
Sodium Valproate,"Epilim,Depakote,Valproate","Sodium Valproate 500mg",true,A4-8021,unscheduled,,not_scheduled,not_controlled,true,false,true,true,4,false,Mental Health,Mood Stabilizer/Anticonvulsant,Enhances GABAergic transmission,true,true,true,LFTs full blood count valproate levels,ongoing,true,none,yes,D,false,"Hepatic disease,Personal or family history of severe hepatic dysfunction,Porphyria,Mitochondrial disorders,Pregnancy (unless no alternative)","Carbapenems,Lamotrigine,Warfarin,Other CNS depressants",true,"Serious or fatal hepatotoxicity especially in children under 2. Highly teratogenic - neural tube defects developmental delays. Contraindicated in pregnancy unless no alternative. Pancreatitis. Hyperammonemic encephalopathy.",Nausea|Tremor|Weight gain|Hair loss|Drowsiness,Hepatotoxicity|Pancreatitis|Teratogenicity|Thrombocytopenia|Hyperammonemia|Encephalopathy,Low cost,Lithium|Carbamazepine|Lamotrigine,valproate epilim depakote mood stabilizer anticonvulsant teratogenic hepatotoxic pregnancy
Carbamazepine,"Tegretol,Carbatol","Carbamazepine 200mg",true,A4-8022,unscheduled,,not_scheduled,not_controlled,true,false,true,true,4,false,Mental Health,Mood Stabilizer/Anticonvulsant,Blocks voltage-gated sodium channels,true,false,true,LFTs full blood count carbamazepine levels,ongoing,true,none,yes,D,false,"Bone marrow depression,HLA-B*1502 allele (in Han Chinese and Southeast Asians),AV heart block,Acute porphyria,MAOIs within 14 days","MAOIs,CYP3A4 inducers/inhibitors,Warfarin,Oral contraceptives,Antipsychotics",true,"Serious and sometimes fatal dermatologic reactions including toxic epidermal necrolysis and Stevens-Johnson syndrome particularly in patients with HLA-B*1502 allele. Aplastic anemia and agranulocytosis. Teratogenic.",Dizziness|Drowsiness|Nausea|Ataxia|Diplopia,Stevens-Johnson syndrome|Toxic epidermal necrolysis|Aplastic anemia|Agranulocytosis|Hepatotoxicity|Hyponatremia|Teratogenicity,Low cost,Valproate|Lamotrigine|Lithium,carbamazepine tegretol mood stabilizer anticonvulsant trigeminal neuralgia stevens-johnson
Lamotrigine,"Lamictal,Lamitor","Lamotrigine 100mg",true,A4-8023,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Mental Health,Mood Stabilizer/Anticonvulsant,Inhibits voltage-sensitive sodium channels,false,false,false,,ongoing,true,none,no,C,false,"Hypersensitivity","Valproate (doubles lamotrigine levels),Carbamazepine,Oral contraceptives",true,"Serious rashes including Stevens-Johnson syndrome and toxic epidermal necrolysis. Risk higher with rapid dose escalation concomitant valproate and in children. Requires slow titration.",Headache|Dizziness|Nausea|Diplopia|Blurred vision|Rash,Stevens-Johnson syndrome|Toxic epidermal necrolysis|Aseptic meningitis|Blood dyscrasias|Multi-organ hypersensitivity,Moderate cost,Valproate|Lithium|Quetiapine,lamotrigine lamictal mood stabilizer anticonvulsant bipolar depression stevens-johnson rash
Buspirone,"Buspar,Buspiron","Buspirone 10mg",true,A4-8024,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Mental Health,Anxiolytic,Serotonin 5-HT1A partial agonist,false,false,false,,90,true,none,no,B,false,"Hypersensitivity,MAOIs within 14 days","MAOIs,CYP3A4 inhibitors (erythromycin ketoconazole),Grapefruit juice",false,,Dizziness|Nausea|Headache|Nervousness|Lightheadedness,Serotonin syndrome (rare),Low cost,Benzodiazepines (short-term)|SSRIs,buspirone buspar anxiolytic anxiety non-benzodiazepine serotonin
Hydroxyzine,"Atarax,Vistaril","Hydroxyzine 25mg",true,A4-8025,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Mental Health,Anxiolytic/Antihistamine,H1 receptor antagonist with anticholinergic effects,false,false,false,,14,false,low,no,C,false,"Hypersensitivity,Early pregnancy,Prolonged QT interval","CNS depressants,Anticholinergics,Alcohol",false,,Drowsiness|Dry mouth|Dizziness|Headache,QT prolongation|Cardiac arrhythmias|Seizures,Low cost,Buspirone|Benzodiazepines|SSRIs,hydroxyzine atarax vistaril antihistamine anxiolytic sedating anxiety pruritus
