generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,nafdac_schedule_date,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,requires_special_prescription,requires_physician_only,pharmacist_can_prescribe,maximum_days_supply,requires_photo_id,therapeutic_class,pharmacological_class,mechanism_of_action,is_controlled,is_high_risk,requires_monitoring,monitoring_type,monitoring_frequency_days,addiction_risk,abuse_potential,minimum_age,maximum_age,pregnancy_category,breastfeeding_safe,major_contraindications,allergy_cross_reactions,black_box_warning,black_box_warning_text,major_drug_interactions,food_interactions,search_keywords,generic_variations,common_misspellings,safer_alternatives,cheaper_alternatives,notes,is_active
Paracetamol/Tramadol,"Ultracet,Zaldiar","Paracetamol 325mg + Tramadol 37.5mg",true,A4-6011,schedule_4,2018-04-06,schedule_4,class_c,false,true,true,false,14,true,Analgesic,Opioid Combination,Paracetamol + Tramadol (opioid + SNRI effects),true,true,true,"Pain level, Seizure risk, Serotonin syndrome, Addiction",30,true,high,18,65,C,false,"Respiratory depression,Acute intoxication with alcohol/drugs,MAOIs,Epilepsy (uncontrolled),Children under 12","Tramadol,Opioids",true,"Seizure risk at high doses. Serotonin syndrome risk with SSRIs/SNRIs. Addiction and respiratory depression risk.","MAOIs (serotonin syndrome - contraindicated),SSRIs (serotonin syndrome),CNS depressants (respiratory depression),Warfarin (increased INR from paracetamol)","Take with or without food, avoid alcohol",paracetamol tramadol|ultracet|zaldiar|pain relief|moderate pain,Paracetamol/Tramadol HCl,Ultracet|Tramadol combination,Tramadol alone,Paracetamol alone,Combination for moderate pain. Tramadol NAFDAC-controlled since 2018. Seizure and serotonin syndrome risk.,true
Acetaminophen/Hydrocodone,"Vicodin,Norco","Paracetamol 500mg + Hydrocodone 5mg",true,A4-6012,schedule_2,2014-10-06,schedule_2,class_a,false,true,true,false,7,true,Analgesic,Opioid Combination,Paracetamol + Hydrocodone (potent opioid),true,true,true,"Pain, Respiratory function, Liver function, Addiction",14,true,severe,18,,C,false,"Respiratory depression,Severe asthma,Paralytic ileus,Hypersensitivity","Opioids,Codeine",true,"High abuse and addiction potential. Respiratory depression risk. Hepatotoxicity from paracetamol (acetaminophen) especially with alcohol use. Reclassified Schedule II in US (2014).","CNS depressants (fatal respiratory depression),Alcohol (liver damage + respiratory depression),MAOIs (severe reactions),Benzodiazepines (respiratory depression),CYP3A4 inhibitors (increased hydrocodone levels)","Take with food, avoid alcohol completely, monitor liver function",vicodin|norco|hydrocodone paracetamol|opioid combination|moderate to severe pain,Acetaminophen/Hydrocodone Bitartrate,Vicodin|Norco,Tramadol (weaker but safer),Codeine combinations,Potent opioid combination. High abuse potential. Monitor liver function due to paracetamol. Limit paracetamol total daily dose.,true
Aspirin (Analgesic Dose),"Aspirin,Disprin","Aspirin 300mg",true,A4-6013,unscheduled,,not_scheduled,not_controlled,true,false,true,true,10,false,Analgesic/Anti-inflammatory,NSAID,Irreversibly inhibits COX enzymes,false,false,false,,,false,none,,,D,false,"Active peptic ulcer,Hemophilia,Children under 12 with viral illness (Reye's syndrome),Third trimester pregnancy,Severe renal/hepatic impairment","NSAIDs,Salicylates",false,,"Warfarin (bleeding),Other NSAIDs (increased GI bleeding),Methotrexate (increased toxicity),ACE inhibitors (reduced effect),Corticosteroids (increased GI bleeding)","Take with food or after meals with full glass of water",aspirin|disprin|pain relief|fever|headache,Acetylsalicylic Acid,Asprin|Aspirin,Paracetamol (safer for fever/pain),Ibuprofen,Analgesic/antipyretic dose (300-600mg). GI bleeding risk. Avoid in children <12 (Reye's syndrome). Take with food.,true
Paracetamol/Ibuprofen Combination,"Nuromol,Maxigesic","Paracetamol 500mg + Ibuprofen 200mg",true,A4-6014,unscheduled,,not_scheduled,not_controlled,false,false,true,true,7,false,Analgesic,NSAID + Paracetamol Combination,Dual mechanism (COX inhibition + central action),false,false,true,GI symptoms,7,false,none,,,C,false,"Active peptic ulcer,Severe renal/hepatic impairment,Third trimester pregnancy,NSAID hypersensitivity","NSAIDs,Aspirin",false,,"Warfarin (bleeding from both components),ACE inhibitors (reduced effect from ibuprofen),Lithium (increased levels)","Take with food, maximum 3 days without medical advice",paracetamol ibuprofen|nuromol|maxigesic|combination pain relief,Paracetamol + Ibuprofen,Nuromol|Maxigesic,Paracetamol or Ibuprofen alone,Generic paracetamol or ibuprofen,Fixed-dose combination. Better pain relief than either alone. Short-term use only. GI precautions from ibuprofen.,true
Benzocaine Topical,"Orajel,Anbesol","Benzocaine 10% gel",true,A4-6015,unscheduled,,not_scheduled,not_controlled,false,false,false,true,7,false,Topical Analgesic,Local Anesthetic,Blocks sodium channels (prevents nerve impulse transmission),false,false,false,,,false,none,,,C,true,"Hypersensitivity to ester anesthetics,Infants under 2 years (methemoglobinemia risk)","Other ester anesthetics",true,"Risk of methemoglobinemia especially in children under 2 years. Can be fatal. FDA warnings against use in teething infants.","None significant","Topical use only, apply sparingly to affected area",benzocaine|orajel|anbesol|topical anesthetic|toothache|oral pain,Benzocaine topical,Orajel|Benzocaine,Lidocaine gel (safer in children),Clove oil (natural),Topical anesthetic for oral pain. Black box warning for methemoglobinemia in infants. Avoid in children <2.,true
Lidocaine Topical,"Xylocaine,Emla","Lidocaine 5% ointment",true,A4-6016,unscheduled,,not_scheduled,not_controlled,true,false,false,true,30,false,Topical Analgesic,Local Anesthetic,Blocks sodium channels,false,false,false,,,false,none,,,B,true,"Hypersensitivity to amide anesthetics,Application to large areas or broken skin","Other amide anesthetics",false,,"Class I antiarrhythmics (additive cardiac effects if absorbed systemically)","Topical use only, do not apply to large areas",lidocaine|xylocaine|topical anesthetic|local anesthetic|pain relief,Lidocaine topical,Xylocaine|Lidocaine,Benzocaine (though has methemoglobinemia risk),Benzocaine,Topical local anesthetic. Safer than benzocaine in children. Available as patches gels and ointments. For localized pain.,true
Capsaicin Topical,"Zostrix,Capzasin","Capsaicin 0.025% cream",true,A4-6017,unscheduled,,not_scheduled,not_controlled,false,false,false,true,90,false,Topical Analgesic,Counterirritant,Depletes substance P from sensory neurons,false,false,false,,,false,none,,,C,true,"Hypersensitivity,Broken or irritated skin","None specific",false,,"None significant","Topical use only, wash hands after application, avoid eyes and mucous membranes, initial burning common",capsaicin|zostrix|topical pain relief|neuropathic pain|arthritis,Capsaicin cream,Capsaicin|Zostrix,NSAIDs topical,Menthol-based creams,Topical analgesic from chili peppers. Depletes substance P. Initial burning/stinging for first week. Good for neuropathic pain and arthritis.,true
Methyl Salicylate Topical,"Deep Heat,Ralgex","Methyl Salicylate 30% cream",true,A4-6018,unscheduled,,not_scheduled,not_controlled,false,false,false,true,30,false,Topical Analgesic,Counterirritant/Rubefacient,Creates warming sensation (increases blood flow),false,false,false,,,false,none,,,C,true,"Aspirin allergy,Children under 12,Broken skin,Concurrent warfarin use","Salicylates,Aspirin,NSAIDs",false,,"Warfarin (systemic absorption can increase INR),Other salicylates (additive effects)","Topical use only, do not apply heat, do not bandage tightly, avoid broken skin",methyl salicylate|deep heat|ralgex|muscle pain|topical pain relief,Methyl Salicylate topical,Deep Heat|Ralgex,Diclofenac gel (more effective),Menthol-based creams,Topical counterirritant for muscle pain. Absorption can occur (avoid in aspirin allergy). Popular in Nigeria for muscle aches.,true
Menthol Topical,"Mentholatum,Vicks VapoRub","Menthol 10% cream",true,A4-6019,unscheduled,,not_scheduled,not_controlled,false,false,false,true,30,false,Topical Analgesic,Counterirritant,Creates cooling sensation (activates cold receptors),false,false,false,,,false,none,,,C,true,"Hypersensitivity,Infants under 2 years (respiratory issues if applied to face/nose)","None specific",false,,"None significant","Topical use only, avoid broken skin, do not apply to face of infants",menthol|mentholatum|vicks vaporub|topical pain relief|muscle pain,Menthol topical,Menthol|Vicks,Capsaicin cream,Methyl salicylate,Topical counterirritant with cooling effect. Safe and well-tolerated. Avoid in infants <2 on face/nose area.,true
Diclofenac Gel,"Voltaren Gel,Diclofenac Gel","Diclofenac Sodium 1% gel",true,A4-6020,unscheduled,,not_scheduled,not_controlled,false,false,false,true,30,false,Topical Analgesic,Topical NSAID,Inhibits COX enzymes locally,false,false,false,,,false,none,,,C,false,"Aspirin triad (asthma nasal polyps aspirin allergy),Third trimester pregnancy,Open wounds or eczema at application site","NSAIDs,Aspirin",true,"Lower systemic exposure than oral NSAIDs but still has CV and GI risks with prolonged use. Avoid in late pregnancy.","Oral NSAIDs (additive effects - avoid concurrent use),Warfarin (may increase bleeding risk)","Topical use only, apply thin layer and rub in gently, wash hands after use (unless treating hands)",diclofenac gel|voltaren gel|topical nsaid|arthritis|joint pain,Diclofenac Sodium topical,Voltaren Gel|Diclofenac Gel,Capsaicin cream,Methyl salicylate,Topical NSAID. Much lower systemic exposure than oral. Good for localized joint pain. Still has some systemic absorption.,true
Pregabalin,"Lyrica","Pregabalin 75mg",true,A4-6021,schedule_4,2019-01-01,schedule_5,class_c,false,false,true,true,30,false,Neuropathic Pain Agent,Anticonvulsant/Analgesic,Binds to alpha-2-delta subunit of voltage-gated calcium channels,true,false,true,"Pain level, Dizziness, Peripheral edema, Suicidal ideation",30,true,moderate,18,,C,false,"Hypersensitivity to pregabalin","None specific",false,,"Opioids (increased respiratory depression risk),CNS depressants (enhanced sedation),Alcohol (enhanced sedation)","Take with or without food, avoid abrupt discontinuation",pregabalin|lyrica|neuropathic pain|nerve pain|fibromyalgia,Pregabalin base,Pregabalin|Lyrica,Gabapentin (similar),Amitriptyline,For neuropathic pain and fibromyalgia. Abuse potential (controlled in many countries). Dizziness and sedation common. Weight gain and edema.,true
Gabapentin,"Neurontin","Gabapentin 300mg",true,A4-6022,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Neuropathic Pain Agent,Anticonvulsant/Analgesic,Binds to alpha-2-delta subunit of voltage-gated calcium channels,false,false,true,"Pain level, Dizziness, Suicidal ideation",30,false,low,18,,C,false,"Hypersensitivity to gabapentin","None specific",false,,"Opioids (increased respiratory depression),Antacids (reduced gabapentin absorption),Morphine (increased gabapentin levels)","Take with or without food, space from antacids by 2 hours, avoid abrupt discontinuation",gabapentin|neurontin|neuropathic pain|nerve pain|seizures,Gabapentin base,Gabapentin|Neurontin,Pregabalin (more potent),Amitriptyline,For neuropathic pain and seizures. Less abuse potential than pregabalin. Dizziness common. Requires renal dose adjustment. Three times daily dosing.,true
Duloxetine,"Cymbalta","Duloxetine HCl 60mg",true,A4-6023,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Neuropathic Pain Agent,SNRI Antidepressant,Inhibits serotonin and norepinephrine reuptake,false,false,true,"Depression/suicidality, Liver function, Blood pressure",30,false,none,18,,C,false,"MAOIs within 14 days,Uncontrolled narrow-angle glaucoma,Severe hepatic impairment,Severe renal impairment","Other SNRIs",true,"Increased risk of suicidal thoughts and behavior in children adolescents and young adults with depression. Not approved for use in children.","MAOIs (serotonin syndrome - contraindicated),SSRIs (serotonin syndrome),Tramadol (serotonin syndrome),Warfarin (increased bleeding risk),CYP1A2 inhibitors (increased duloxetine levels)","Take with or without food, avoid abrupt discontinuation (taper)",duloxetine|cymbalta|snri|neuropathic pain|diabetic neuropathy|fibromyalgia,Duloxetine Hydrochloride,Duloxetine|Cymbalta,Gabapentin or Pregabalin,Amitriptyline,SNRI for neuropathic pain depression and fibromyalgia. Black box for suicidality. Nausea common initially. Avoid abrupt discontinuation.,true
Amitriptyline (Low-Dose),"Elavil,Amitriptyline","Amitriptyline HCl 10mg",true,A4-6024,schedule_4,2019-01-01,not_scheduled,not_controlled,true,false,true,true,30,false,Neuropathic Pain Agent,Tricyclic Antidepressant,Inhibits serotonin/norepinephrine reuptake + anticholinergic effects,true,true,true,"Pain level, Anticholinergic effects, Sedation, ECG (QT)",30,false,low,18,,C,false,"Recent MI,Concurrent MAOIs,QT prolongation,Severe heart block,Urinary retention","Tricyclic antidepressants",true,"Suicidal ideation risk (especially young adults). Dangerous in overdose (cardiac toxicity).","MAOIs (serotonin syndrome - fatal),QT-prolonging drugs,Anticholinergics (enhanced effects),SSRIs (increased TCA levels),Warfarin (increased INR)","Take at bedtime (sedating), avoid alcohol",amitriptyline low dose|elavil|neuropathic pain|migraine prevention|tricyclic,Amitriptyline Hydrochloride,Amitriptyline|Elavil,Gabapentin or Pregabalin,Gabapentin,Low-dose TCA for neuropathic pain and migraine prevention (10-75mg). Full antidepressant dose 150mg+. Anticholinergic side effects. Sedating. NAFDAC-controlled due to abuse.,true
Nortriptyline,"Pamelor,Aventyl","Nortriptyline HCl 25mg",true,A4-6025,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Neuropathic Pain Agent,Tricyclic Antidepressant,Inhibits norepinephrine reuptake,false,true,true,"Pain level, Anticholinergic effects, ECG",30,false,none,18,,C,false,"Recent MI,Concurrent MAOIs,QT prolongation,Urinary retention","Tricyclic antidepressants",true,"Suicidal ideation risk. Cardiac toxicity in overdose.","MAOIs (serotonin syndrome),QT-prolonging drugs,Anticholinergics,SSRIs (increased nortriptyline levels)","Take at bedtime or divided doses",nortriptyline|pamelor|neuropathic pain|migraine prevention|tricyclic,Nortriptyline Hydrochloride,Nortriptyline|Pamelor,Gabapentin,Amitriptyline (more sedating but cheaper),Active metabolite of amitriptyline. Better tolerated than amitriptyline (fewer anticholinergic effects). For neuropathic pain and migraine.,true
Colchicine,"Colcrys","Colchicine 0.6mg",true,A4-6026,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antigout Agent,Anti-inflammatory,Inhibits microtubule polymerization (reduces neutrophil activity),false,true,true,"Diarrhea, Myopathy signs, Renal/hepatic function",30,false,none,,,C,false,"Severe renal impairment,Severe hepatic impairment,Concurrent P-glycoprotein or strong CYP3A4 inhibitors in renal/hepatic impairment","None specific",false,,"Clarithromycin (fatal colchicine toxicity),CYP3A4 inhibitors (increased toxicity),P-glycoprotein inhibitors (increased toxicity),Statins (myopathy risk)","Take with or without food, reduce dose in renal impairment",colchicine|colcrys|gout|acute gout attack,Colchicine base,Colchicine|Colcrys,NSAIDs (for acute gout),Allopurinol (for prevention not acute),For acute gout attacks and prevention. Narrow therapeutic window. Diarrhea common. Fatal toxicity possible with drug interactions. Dose adjust for renal/hepatic impairment.,true
